step	cost_avg	cost_best	solution_best
0	2433.8	-9504.42	{var1:0.052855, var2:8.099167}
1	2099.8	-10119	{var1:0.179775, var2:8.792184}
2	2003.58	-9504.42	{var1:0.052855, var2:8.099167}
3	2041.91	-9504.42	{var1:0.052855, var2:8.099167}
4	1933.44	-22904.4	{var1:0.060353, var2:9.028490}
5	1538.8	-9504.42	{var1:0.052855, var2:8.099167}
6	1716.92	-9504.42	{var1:0.052855, var2:8.099167}
7	1142.53	-9504.42	{var1:0.052855, var2:8.099167}
8	1834.48	-9504.42	{var1:0.052855, var2:8.099167}
9	2516.15	-9504.42	{var1:0.052855, var2:8.099167}
10	1600.68	-23199.1	{var1:0.080657, var2:9.161112}
11	2178.27	-9504.42	{var1:0.052855, var2:8.099167}
12	2186.34	-9504.42	{var1:0.052855, var2:8.099167}
13	1972.51	-9504.42	{var1:0.052855, var2:8.099167}
14	1581.28	-9504.42	{var1:0.052855, var2:8.099167}
15	1537.5	-9504.42	{var1:0.052855, var2:8.099167}
16	1522.43	-9504.42	{var1:0.052855, var2:8.099167}
17	1393.3	-9504.42	{var1:0.052855, var2:8.099167}
18	1909.48	-9504.42	{var1:0.052855, var2:8.099167}
19	2016.51	-9504.42	{var1:0.052855, var2:8.099167}
20	1896.48	-9504.42	{var1:0.052855, var2:8.099167}
21	2077.68	-9504.42	{var1:0.052855, var2:8.099167}
